name,category,top,numunits,tenure,preview,booking,notes,link
Jervois Prive [D10],,,,,,,,https://share.ecoprop.com/Jervois-Prive/R065963D
Les Maisons Nassim [D10],,,,,,,,https://share.ecoprop.com/Les-Maisons-Nassim/R065963D
Nouvel 18 [D10],,,,,,,,https://share.ecoprop.com/Nouvel-18/R065963D
10 Evelyn [D11],,,,,,,,https://share.ecoprop.com/10-Evelyn/R065963D
Neu at Novena [D11],,,,,,,,https://share.ecoprop.com/Neu-at-Novena/R065963D
Peak Residence [D11],,,,,,,,https://share.ecoprop.com/Peak-Residence/R065963D
Gems Ville [D14],,,,,,,,https://share.ecoprop.com/Gems-Ville/R065963D
Zyanya [D14],,,,,,,,https://share.ecoprop.com/Zyanya/R065963D
Atlassia [D15],,,,,,,,https://share.ecoprop.com/Atlassia/R065963D
K Suites [D15],,,,,,,,https://share.ecoprop.com/K-Suites/R065963D
LIV@MB [D15],,,,,,,,https://share.ecoprop.com/LIV-MB/R065963D
Tembusu Grand [D15],,,,,,,,https://share.ecoprop.com/Tembusu-Grand/R065963D
Sky Eden @ Bedok [D16],,,,,,,,https://share.ecoprop.com/Sky-Eden-Bedok/R065963D
Tenet [D18],,,,,,,,https://share.ecoprop.com/Tenet/R065963D
Bartley Vue [D19],,,,,,,,https://share.ecoprop.com/Bartley-Vue/R065963D
Belgravia Ace [D27],,,,,,,,https://share.ecoprop.com/Belgravia-Ace/R065963D
North Gaia [D27],,,,,,,,https://share.ecoprop.com/North-Gaia/R065963D
