name,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
ASCENTIA SKY,,RCR - [D03],,1785,1/2/2023,1717,1/5/2023, ,https://share.ecoprop.com/ASCENTIA-SKY/R065963D,1985,1/6/2022,1797,1/4/2023,1790,half year,1717,half year,0,NaT,0,NaT,0,no sales,0,no sales,1644,2019,1458,2019,1628,2020,1456,2020,1683,2021,1485,2021,1829,2022,1658,2022,1790,2023,1717,2023
ASPEN HEIGHTS,,CCR - [D09],,2096,1/3/2022,2218,1/5/2023, ,https://share.ecoprop.com/ASPEN-HEIGHTS/R065963D,2096,1/3/2022,2243,1/9/2021,2096,no sales,2138,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1730,2019,1722,2020,1740,2020,2039,2021,1905,2021,2096,2022,2019,2022,0,no sales,2138,2023
ASTOR GREEN,,RCR - [D21],,1530,1/3/2021,1424,1/4/2023, ,https://share.ecoprop.com/ASTOR-GREEN/R065963D,1530,1/3/2021,1424,1/4/2023,1530,no sales,1363,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1159,2019,0,no sales,1042,2020,1530,2021,1196,2021,0,no sales,1270,2022,0,no sales,1363,2023
ASTORIA PARK,,OCR - [D14],,1174,1/5/2023,1130,1/4/2023, ,https://share.ecoprop.com/ASTORIA-PARK/R065963D,1305,1/4/2023,1172,1/1/2023,1249,half year,1151,half year,0,NaT,0,NaT,1086,2018,1091,2018,1006,2019,1075,2019,1024,2020,999,2020,1028,2021,1029,2021,1204,2022,1090,2022,1249,2023,1151,2023
ASTRID MEADOWS,,CCR - [D10],,0,no sales,2175,1/5/2023, ,https://share.ecoprop.com/ASTRID-MEADOWS/R065963D,0,no sales,2295,1/10/2022,0,no sales,2232,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1753,2019,0,no sales,1691,2020,0,no sales,1970,2021,0,no sales,2162,2022,0,no sales,2232,2023
AVILA GARDENS,,OCR - [D17],,1036,1/5/2023,1111,1/5/2023, ,https://share.ecoprop.com/AVILA-GARDENS/R065963D,2252,1/2/2023,1118,1/9/2022,1514,half year,1074,half year,0,NaT,0,NaT,879,2018,848,2018,898,2019,869,2019,911,2020,822,2020,1032,2021,902,2021,984,2022,1030,2022,1514,2023,1074,2023
BALLOTA PARK CONDOMINIUM,,OCR - [D17],,858,1/3/2022,974,1/5/2023, ,https://share.ecoprop.com/BALLOTA-PARK-CONDOMINIUM/R065963D,858,1/3/2022,992,1/8/2022,858,no sales,959,half year,0,NaT,0,NaT,816,2018,757,2018,0,no sales,770,2019,757,2020,769,2020,840,2021,804,2021,858,2022,910,2022,0,no sales,959,2023
BALMORAL GATE,,CCR - [D10],,0,no sales,2184,1/4/2023, ,https://share.ecoprop.com/BALMORAL-GATE/R065963D,0,no sales,2184,1/4/2023,0,no sales,2034,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1677,2019,0,no sales,1674,2020,0,no sales,0,no sales,0,no sales,2132,2022,0,no sales,2034,2023
BARTLEY RIDGE,,RCR - [D13],,1595,1/5/2023,1875,1/5/2023, ,https://share.ecoprop.com/BARTLEY-RIDGE/R065963D,1813,1/3/2023,1875,1/5/2023,1676,half year,1774,half year,0,NaT,0,NaT,1526,2018,1445,2018,1447,2019,1374,2019,1471,2020,1313,2020,1494,2021,1406,2021,1601,2022,1459,2022,1676,2023,1774,2023
BAYSHORE PARK,,OCR - [D16],,1335,1/5/2023,1236,1/5/2023, ,https://share.ecoprop.com/BAYSHORE-PARK/R065963D,1348,1/6/2022,1364,1/4/2023,1335,half year,1244,half year,0,NaT,0,NaT,1062,2018,1013,2018,992,2019,984,2019,994,2020,928,2020,1054,2021,1025,2021,1205,2022,1204,2022,1335,2023,1244,2023
BAYVILLE CONDOMINIUM,,RCR - [D05],,0,no sales,1155,1/4/2023, ,https://share.ecoprop.com/BAYVILLE-CONDOMINIUM/R065963D,0,no sales,1200,1/11/2021,0,no sales,1155,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,990,2019,0,no sales,1130,2020,0,no sales,1161,2021,0,no sales,0,no sales,0,no sales,1155,2023
BAYWATER,,OCR - [D16],,0,no sales,1265,1/5/2023, ,https://share.ecoprop.com/BAYWATER/R065963D,0,no sales,1289,1/2/2023,0,no sales,1227,half year,0,no sales,0,NaT,0,no sales,955,2018,0,no sales,1012,2019,0,no sales,957,2020,0,no sales,1022,2021,0,no sales,1106,2022,0,no sales,1227,2023
BEACON HEIGHTS,,RCR - [D12],,1465,1/4/2023,1515,1/11/2022, ,https://share.ecoprop.com/BEACON-HEIGHTS/R065963D,1465,1/4/2023,1515,1/11/2022,1398,half year,1515,no sales,0,NaT,0,NaT,1212,2018,934,2018,1248,2019,1104,2019,1201,2020,1152,2020,1227,2021,1202,2021,1312,2022,1397,2022,1398,2023,0,no sales
BEDOK COURT,,OCR - [D16],,0,no sales,1035,1/5/2023, ,https://share.ecoprop.com/BEDOK-COURT/R065963D,0,no sales,1071,1/3/2023,0,no sales,1024,half year,0,no sales,0,NaT,0,no sales,642,2018,0,no sales,846,2019,0,no sales,770,2020,0,no sales,823,2021,0,no sales,925,2022,0,no sales,1024,2023
BELMOND GREEN,,CCR - [D10],,2088,1/10/2021,2542,1/5/2023, ,https://share.ecoprop.com/BELMOND-GREEN/R065963D,2088,1/10/2021,2542,1/5/2023,2088,no sales,2286,half year,0,NaT,0,NaT,0,no sales,0,no sales,2042,2019,1824,2019,0,no sales,1657,2020,2026,2021,2042,2021,0,no sales,2270,2022,0,no sales,2286,2023
BISHAN PARK CONDOMINIUM,,RCR - [D20],,0,no sales,1284,1/5/2023, ,https://share.ecoprop.com/BISHAN-PARK-CONDOMINIUM/R065963D,0,no sales,1286,1/3/2023,0,no sales,1259,half year,0,no sales,0,NaT,0,no sales,929,2018,0,no sales,969,2019,0,no sales,1030,2020,0,no sales,1080,2021,0,no sales,1142,2022,0,no sales,1259,2023
BISHAN POINT,,RCR - [D20],,1410,1/4/2023,1383,1/4/2023, ,https://share.ecoprop.com/BISHAN-POINT/R065963D,1410,1/4/2023,1400,1/11/2022,1410,half year,1331,half year,0,NaT,0,NaT,0,no sales,1104,2018,0,no sales,1148,2019,0,no sales,1183,2020,1225,2021,1219,2021,1307,2022,1288,2022,1410,2023,1331,2023
BLISS@KOVAN,,OCR - [D19],,1596,1/1/2023,1594,1/3/2023, ,https://share.ecoprop.com/BLISS@KOVAN/R065963D,1605,1/11/2021,1594,1/3/2023,1596,half year,1555,half year,0,NaT,0,NaT,1601,2018,1288,2018,1517,2019,1284,2019,1471,2020,1310,2020,1515,2021,1303,2021,1556,2022,1291,2022,1596,2023,1555,2023
BLOSSOMS @ WOODLEIGH,,RCR - [D13],,0,no sales,1783,1/5/2023, ,https://share.ecoprop.com/BLOSSOMS-WOODLEIGH/R065963D,0,no sales,1825,1/3/2023,0,no sales,1619,half year,0,no sales,0,NaT,0,no sales,1432,2018,0,no sales,1295,2019,0,no sales,1407,2020,0,no sales,1545,2021,0,no sales,1652,2022,0,no sales,1619,2023
BLUE HORIZON,,OCR - [D05],,1368,1/5/2023,1333,1/5/2023, ,https://share.ecoprop.com/BLUE-HORIZON/R065963D,1394,1/3/2023,1351,1/3/2023,1359,half year,1281,half year,0,NaT,0,NaT,0,no sales,0,no sales,1051,2019,1042,2019,1010,2020,1066,2020,1085,2021,1134,2021,1199,2022,1241,2022,1359,2023,1281,2023
BLUWATERS 2,,OCR - [D17],2010,977,1/1/2022,1017,1/4/2023, ,https://share.ecoprop.com/BLUWATERS-2/R065963D,984,1/10/2021,1120,1/6/2022,977,no sales,1017,half year,0,NaT,0,NaT,908,2018,0,no sales,918,2019,0,no sales,962,2020,673,2020,966,2021,686,2021,977,2022,937,2022,0,no sales,1017,2023
BOATHOUSE RESIDENCES,,OCR - [D19],,1185,1/5/2023,1239,1/5/2023, ,https://share.ecoprop.com/BOATHOUSE-RESIDENCES/R065963D,1302,1/2/2023,1335,1/4/2023,1257,half year,1269,half year,0,NaT,0,NaT,1041,2018,1047,2018,1046,2019,989,2019,1051,2020,974,2020,1075,2021,1054,2021,1186,2022,1174,2022,1257,2023,1269,2023
BOTANIQUE AT BARTLEY,,OCR - [D19],,1747,1/5/2023,1709,1/4/2023, ,https://share.ecoprop.com/BOTANIQUE-AT-BARTLEY/R065963D,1828,1/9/2022,1803,1/3/2023,1736,half year,1760,half year,1548,1/2/2020,0,NaT,1355,2018,0,no sales,1485,2019,1553,2019,1494,2020,1466,2020,1562,2021,1583,2021,1669,2022,1649,2022,1736,2023,1760,2023
BULLION PARK,,OCR - [D26],,1610,1/3/2023,1429,1/3/2023, ,https://share.ecoprop.com/BULLION-PARK/R065963D,1610,1/3/2023,1429,1/3/2023,1610,half year,1383,half year,0,NaT,0,NaT,1146,2018,1164,2018,1099,2019,1126,2019,1144,2020,1098,2020,1284,2021,1210,2021,1548,2022,1305,2022,1610,2023,1383,2023
CANBERRA RESIDENCES,,OCR - [D27],,1135,1/11/2022,1062,1/4/2023, ,https://share.ecoprop.com/CANBERRA-RESIDENCES/R065963D,1161,1/10/2022,1062,1/4/2023,1135,no sales,1062,half year,0,NaT,0,NaT,904,2018,813,2018,885,2019,816,2019,909,2020,826,2020,927,2021,866,2021,1070,2022,940,2022,0,no sales,1062,2023
CAPE ROYALE,,CCR - [D04],2013,0,no sales,2277,1/5/2023, ,https://share.ecoprop.com/CAPE-ROYALE/R065963D,0,no sales,2800,1/7/2022,0,no sales,2223,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2196,2022,0,no sales,2223,2023
CARABELLE,,OCR - [D05],,1620,1/4/2023,1637,1/4/2023, ,https://share.ecoprop.com/CARABELLE/R065963D,1620,1/4/2023,1637,1/4/2023,1591,half year,1637,half year,0,NaT,0,NaT,0,no sales,0,no sales,1322,2019,1328,2019,1334,2020,1332,2020,1432,2021,1362,2021,1399,2022,1447,2022,1591,2023,1637,2023
CARDIFF RESIDENCE,,OCR - [D19],,1579,1/4/2023,1123,1/10/2022, ,https://share.ecoprop.com/CARDIFF-RESIDENCE/R065963D,1608,1/2/2023,1123,1/10/2022,1508,half year,1123,no sales,0,NaT,0,NaT,1359,2018,0,no sales,1384,2019,0,no sales,1319,2020,0,no sales,1385,2021,1026,2021,1450,2022,1026,2022,1508,2023,0,no sales
