name,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
111 EMERALD HILL,,CCR - [D09],,0,no sales,2614,1/2/2023, ,https://share.ecoprop.com/111-EMERALD-HILL/R065963D,0,no sales,2614,1/2/2023,0,no sales,2344,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,2166,2019,0,no sales,2336,2020,0,no sales,2066,2021,0,no sales,2300,2022,0,no sales,2344,2023
120 GRANGE,,CCR - [D10],31-Oct-22,0,NaT,0,no sales, ,https://share.ecoprop.com/120-GRANGE/R065963D,2815,1/11/2020,0,no sales,2815,no sales,0,no sales,2815,1/11/2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2766,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
15 HOLLAND HILL,,CCR - [D10],2Q-3Q 2023,0,no sales,0,NaT, ,https://share.ecoprop.com/15-HOLLAND-HILL/R065963D,0,no sales,3496,1/9/2021,0,no sales,3127,half year,0,no sales,3127,1/2/2023,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2864,2020,0,no sales,3035,2021,0,no sales,3066,2022,0,no sales,3127,2023
16 @ AMBER,,RCR - [D15],,1648,1/6/2022,0,no sales, ,https://share.ecoprop.com/16-AMBER/R065963D,1822,1/4/2021,0,no sales,1648,no sales,0,no sales,0,NaT,0,no sales,1670,2018,0,no sales,1622,2019,0,no sales,0,no sales,0,no sales,1735,2021,0,no sales,1648,2022,0,no sales,0,no sales,0,no sales
18 SHELFORD,,CCR - [D11],,0,no sales,1829,1/8/2022, ,https://share.ecoprop.com/18-SHELFORD/R065963D,0,no sales,1868,1/4/2022,0,no sales,1829,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1652,2021,0,no sales,1841,2022,0,no sales,0,no sales
18 WOODSVILLE,,RCR - [D13],,1858,1/8/2022,1245,1/7/2021, ,https://share.ecoprop.com/18-WOODSVILLE/R065963D,1858,1/8/2022,1245,1/7/2021,1858,no sales,1245,no sales,0,NaT,0,NaT,1756,2018,0,no sales,1626,2019,0,no sales,1481,2020,0,no sales,1474,2021,1245,2021,1672,2022,0,no sales,0,no sales,0,no sales
183 LONGHAUS,,RCR - [D20],Oct-20,1747,1/5/2023,1607,1/12/2022, ,https://share.ecoprop.com/183-LONGHAUS/R065963D,1858,1/3/2023,1607,1/12/2022,1802,half year,1607,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1467,2021,0,no sales,1698,2022,1607,2022,1802,2023,0,no sales
19 NASSIM,,CCR - [D10],Dec-24,0,NaT,0,NaT, ,https://share.ecoprop.com/19-NASSIM/R065963D,3876,1/1/2023,3906,1/2/2023,3876,half year,3860,half year,3876,1/1/2023,3906,1/2/2023,0,no sales,0,no sales,0,no sales,0,no sales,3351,2020,3401,2020,3510,2021,3751,2021,0,no sales,0,no sales,3876,2023,3860,2023
1919,,CCR - [D09],,2035,1/1/2023,1588,1/9/2022, ,https://share.ecoprop.com/1919/R065963D,2190,1/8/2022,1588,1/9/2022,2035,half year,1588,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1846,2019,0,no sales,1891,2020,0,no sales,1986,2021,1574,2021,2041,2022,1588,2022,2035,2023,0,no sales
1953,,RCR - [D08],Dec-23,0,NaT,0,NaT, ,https://share.ecoprop.com/1953/R065963D,2113,1/5/2022,2018,1/12/2022,2113,no sales,1858,half year,2113,1/5/2022,2011,1/1/2023,0,no sales,0,no sales,1852,2019,1846,2019,1893,2020,0,no sales,1902,2021,1752,2021,2002,2022,1893,2022,0,no sales,1858,2023
2 RVG,,CCR - [D09],,2052,1/3/2022,0,no sales, ,https://share.ecoprop.com/2-RVG/R065963D,2069,1/10/2021,0,no sales,2052,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1925,2020,0,no sales,2040,2021,0,no sales,2052,2022,0,no sales,0,no sales,0,no sales
21 RICHARDS,,OCR - [D19],,1687,1/10/2021,1299,1/3/2022, ,https://share.ecoprop.com/21-RICHARDS/R065963D,1687,1/10/2021,1299,1/3/2022,1687,no sales,1299,no sales,0,NaT,0,NaT,1126,2018,0,no sales,1201,2019,0,no sales,1287,2020,1197,2020,1452,2021,0,no sales,0,no sales,1299,2022,0,no sales,0,no sales
24 ONE RESIDENCES,,RCR - [D05],,1961,1/12/2022,1620,1/11/2022, ,https://share.ecoprop.com/24-ONE-RESIDENCES/R065963D,1961,1/12/2022,1620,1/11/2022,1961,no sales,1620,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1689,2021,0,no sales,1961,2022,1620,2022,0,no sales,0,no sales
26 NEWTON,,CCR - [D11],2016,1965,1/6/2022,1829,1/11/2021, ,https://share.ecoprop.com/26-NEWTON/R065963D,2730,1/8/2018,2000,1/7/2018,1965,no sales,1829,no sales,0,NaT,0,NaT,2667,2018,2000,2018,2265,2019,0,no sales,2307,2020,0,no sales,2299,2021,1829,2021,2122,2022,0,no sales,0,no sales,0,no sales
28 IMPERIAL RESIDENCES,,RCR - [D14],,1654,1/4/2023,0,no sales, ,https://share.ecoprop.com/28-IMPERIAL-RESIDENCES/R065963D,1654,1/4/2023,0,no sales,1654,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1326,2019,0,no sales,1316,2020,0,no sales,1199,2021,0,no sales,0,no sales,0,no sales,1654,2023,0,no sales
28 RC SUITES,,RCR - [D08],,1722,1/2/2023,0,no sales, ,https://share.ecoprop.com/28-RC-SUITES/R065963D,1722,1/2/2023,0,no sales,1722,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1460,2021,0,no sales,1537,2022,0,no sales,1722,2023,0,no sales
28 SHELFORD,,CCR - [D11],,1870,1/8/2022,1691,1/8/2019, ,https://share.ecoprop.com/28-SHELFORD/R065963D,1870,1/8/2022,1691,1/8/2019,1870,no sales,1691,no sales,0,NaT,0,NaT,1647,2018,1588,2018,1632,2019,1690,2019,0,no sales,0,no sales,1610,2021,0,no sales,1870,2022,0,no sales,0,no sales,0,no sales
3 CUSCADEN,,CCR - [D10],Q1 2022,3982,1/2/2023,3982,1/2/2023, ,https://share.ecoprop.com/3-CUSCADEN/R065963D,4241,1/2/2022,3689,1/3/2022,3982,half year,3689,no sales,4241,1/2/2022,3689,1/3/2022,0,no sales,0,no sales,3589,2019,0,no sales,3792,2020,0,no sales,4067,2021,0,no sales,4058,2022,3688,2022,3982,2023,0,no sales
33 RESIDENCES,,RCR - [D14],,1472,1/6/2022,1472,1/6/2022, ,https://share.ecoprop.com/33-RESIDENCES/R065963D,1695,1/6/2018,1498,1/6/2018,1472,no sales,1498,no sales,1596,1/12/2018,1498,1/6/2018,1610,2018,1498,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1472,2022,0,no sales,0,no sales,0,no sales
35 GILSTEAD,,CCR - [D11],May-24,0,NaT,0,NaT, ,https://share.ecoprop.com/35-GILSTEAD/R065963D,2789,1/2/2020,2577,1/6/2019,2368,half year,2391,no sales,2221,1/3/2023,2391,1/12/2022,0,no sales,0,no sales,2583,2019,2420,2019,2617,2020,2559,2020,2560,2021,2450,2021,2591,2022,2267,2022,2368,2023,0,no sales
368 THOMSON,,CCR - [D11],,1713,1/11/2022,1919,1/8/2022, ,https://share.ecoprop.com/368-THOMSON/R065963D,1858,1/5/2022,1919,1/8/2022,1713,no sales,1919,no sales,0,NaT,0,NaT,1663,2018,1558,2018,1587,2019,1505,2019,1613,2020,1584,2020,1639,2021,1788,2021,1808,2022,1919,2022,0,no sales,0,no sales
38 I SUITES,,RCR - [D15],,1768,1/4/2023,1250,1/12/2021, ,https://share.ecoprop.com/38-I-SUITES/R065963D,1779,1/7/2022,1250,1/12/2021,1768,half year,1250,no sales,0,NaT,0,NaT,1603,2018,0,no sales,1544,2019,0,no sales,1528,2020,883,2020,1553,2021,1103,2021,1693,2022,0,no sales,1768,2023,0,no sales
38 JERVOIS,,CCR - [D10],Feb-20,2576,1/6/2021,1802,1/6/2020, ,https://share.ecoprop.com/38-JERVOIS/R065963D,2576,1/6/2021,1802,1/6/2020,2576,no sales,1802,no sales,2492,1/6/2019,0,NaT,0,no sales,0,no sales,2492,2019,0,no sales,2076,2020,1795,2020,2576,2021,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
3@PHILLIPS,,OCR - [D19],,1097,1/4/2022,945,1/5/2022, ,https://share.ecoprop.com/3PHILLIPS/R065963D,1097,1/4/2022,945,1/5/2022,1097,no sales,945,no sales,0,NaT,0,NaT,1008,2018,899,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1097,2022,945,2022,0,no sales,0,no sales
3@SANDILANDS,,OCR - [D19],,1168,1/11/2021,901,1/11/2020, ,https://share.ecoprop.com/3SANDILANDS/R065963D,1246,1/7/2018,901,1/11/2020,1168,no sales,901,no sales,0,NaT,0,NaT,1153,2018,0,no sales,0,no sales,0,no sales,1079,2020,901,2020,1168,2021,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
448@EAST COAST,,OCR - [D15],,1616,1/11/2021,1084,1/7/2021, ,https://share.ecoprop.com/448EAST-COAST/R065963D,1616,1/11/2021,1084,1/7/2021,1616,no sales,1084,no sales,0,NaT,0,NaT,1367,2018,0,no sales,1231,2019,0,no sales,1579,2020,0,no sales,1616,2021,1084,2021,0,no sales,0,no sales,0,no sales,0,no sales
57 @ KOVAN,,OCR - [D19],,0,no sales,1176,1/7/2022, ,https://share.ecoprop.com/57-KOVAN/R065963D,0,no sales,1176,1/7/2022,0,no sales,1176,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,865,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1163,2022,0,no sales,0,no sales
6 DERBYSHIRE,,CCR - [D11],,1858,1/10/2022,2174,1/2/2023, ,https://share.ecoprop.com/6-DERBYSHIRE/R065963D,2254,1/8/2022,2248,1/10/2022,1858,no sales,2174,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1817,2019,1812,2020,0,no sales,2112,2021,2156,2021,2092,2022,2248,2022,0,no sales,2174,2023
76 SHENTON,,CCR - [D02],,2210,1/4/2023,0,no sales, ,https://share.ecoprop.com/76-SHENTON/R065963D,2210,1/4/2023,0,no sales,1941,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1819,2019,0,no sales,1837,2020,0,no sales,1893,2021,0,no sales,1953,2022,0,no sales,1941,2023,0,no sales
77 @ EAST COAST,,OCR - [D15],,0,NaT,0,NaT, ,https://share.ecoprop.com/77-EAST-COAST/R065963D,1897,1/9/2020,1687,1/1/2022,1778,no sales,1687,no sales,1778,1/6/2022,1687,1/1/2022,0,no sales,0,no sales,0,no sales,0,no sales,1758,2020,0,no sales,1773,2021,1655,2021,1776,2022,1659,2022,0,no sales,0,no sales
8 BASSEIN,,CCR - [D11],,1924,1/4/2023,1067,1/7/2019, ,https://share.ecoprop.com/8-BASSEIN/R065963D,1950,1/9/2022,1067,1/7/2019,1886,half year,1067,no sales,0,NaT,0,NaT,1832,2018,0,no sales,1806,2019,1067,2019,1725,2020,0,no sales,1748,2021,0,no sales,1887,2022,0,no sales,1886,2023,0,no sales
8 EDEN GROVE,,OCR - [D19],,1166,1/2/2021,1245,1/3/2023, ,https://share.ecoprop.com/8-EDEN-GROVE/R065963D,1166,1/2/2021,1245,1/3/2023,1166,no sales,1245,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1166,2021,0,no sales,0,no sales,1177,2022,0,no sales,1245,2023
8 FARRER SUITES,,RCR - [D08],Dec-17,1634,1/7/2022,1322,1/5/2022, ,https://share.ecoprop.com/8-FARRER-SUITES/R065963D,1714,1/9/2020,1370,1/1/2022,1634,no sales,1322,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,1596,2020,0,no sales,1622,2021,0,no sales,1643,2022,1346,2022,0,no sales,0,no sales
8 HULLET,,CCR - [D09],Q1 2022,0,NaT,0,no sales, ,https://share.ecoprop.com/8-HULLET/R065963D,3698,1/7/2019,0,no sales,3180,no sales,0,no sales,3180,1/4/2022,0,no sales,0,no sales,0,no sales,3698,2019,0,no sales,0,no sales,0,no sales,3671,2021,0,no sales,3022,2022,0,no sales,0,no sales,0,no sales
8 NAPIER,,CCR - [D10],,0,no sales,3385,1/10/2022, ,https://share.ecoprop.com/8-NAPIER/R065963D,0,no sales,3385,1/10/2022,0,no sales,3385,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,2832,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,3314,2022,0,no sales,0,no sales
8 RAJA,,RCR - [D12],,0,no sales,1324,1/8/2021, ,https://share.ecoprop.com/8-RAJA/R065963D,0,no sales,1368,1/4/2021,0,no sales,1324,no sales,0,no sales,0,NaT,0,no sales,1255,2018,0,no sales,1285,2019,0,no sales,1209,2020,0,no sales,1238,2021,0,no sales,0,no sales,0,no sales,0,no sales
8 RODYK,,CCR - [D09],,2149,1/1/2022,2347,1/9/2022, ,https://share.ecoprop.com/8-RODYK/R065963D,2205,1/4/2021,2347,1/9/2022,2149,no sales,2347,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2177,2021,2034,2021,2149,2022,2178,2022,0,no sales,0,no sales
833 M B RESIDENCES,,RCR - [D15],,1133,1/10/2022,0,no sales, ,https://share.ecoprop.com/833-M-B-RESIDENCES/R065963D,1542,1/5/2022,0,no sales,1133,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1025,2019,0,no sales,0,no sales,0,no sales,1498,2021,0,no sales,1338,2022,0,no sales,0,no sales,0,no sales
8M RESIDENCES,,RCR - [D15],,2015,1/5/2023,1323,1/5/2022, ,https://share.ecoprop.com/8M-RESIDENCES/R065963D,2261,1/4/2023,1323,1/5/2022,2089,half year,1323,no sales,0,NaT,0,NaT,2129,2018,0,no sales,0,no sales,0,no sales,2025,2020,0,no sales,2133,2021,0,no sales,2116,2022,1323,2022,2089,2023,0,no sales
91 MARSHALL,,RCR - [D15],,1712,1/5/2022,1361,1/8/2022, ,https://share.ecoprop.com/91-MARSHALL/R065963D,1712,1/5/2022,1361,1/8/2022,1712,no sales,1361,no sales,0,NaT,0,NaT,1563,2018,0,no sales,1672,2019,0,no sales,1593,2020,0,no sales,1617,2021,1208,2021,1706,2022,1361,2022,0,no sales,0,no sales
ADAM PLACE,,CCR - [D11],,1333,1/11/2019,1675,1/7/2021, ,https://share.ecoprop.com/ADAM-PLACE/R065963D,1399,1/4/2019,1675,1/7/2021,1333,no sales,1675,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1366,2019,0,no sales,0,no sales,0,no sales,0,no sales,1675,2021,0,no sales,0,no sales,0,no sales,0,no sales
ADANA @ THOMSON,,OCR - [D20],,1799,1/3/2023,1650,1/9/2019, ,https://share.ecoprop.com/ADANA-THOMSON/R065963D,1900,1/8/2022,1650,1/9/2019,1799,half year,1650,no sales,1588,1/7/2018,0,NaT,1588,2018,0,no sales,0,no sales,1650,2019,1754,2020,0,no sales,1761,2021,0,no sales,1857,2022,0,no sales,1799,2023,0,no sales
ADRIA,,CCR - [D11],,2117,1/9/2022,2002,1/2/2023, ,https://share.ecoprop.com/ADRIA/R065963D,2117,1/9/2022,2130,1/5/2022,2117,no sales,2002,half year,0,NaT,0,NaT,1944,2018,1766,2018,1779,2019,1740,2019,1778,2020,1689,2020,1832,2021,1840,2021,2074,2022,2022,2022,0,no sales,2002,2023
AFFINITY AT SERANGOON,,OCR - [D19],Dec-24,1844,1/5/2023,1844,1/5/2023, ,https://share.ecoprop.com/AFFINITY-AT-SERANGOON/R065963D,1844,1/5/2023,1765,1/4/2023,1742,half year,1725,half year,1748,1/7/2022,1560,1/6/2022,1527,2018,1527,2018,1509,2019,1490,2019,1581,2020,1448,2020,1616,2021,1524,2021,1700,2022,1538,2022,1742,2023,1725,2023
AFFLUENCE COURT,,OCR - [D19],,0,no sales,961,1/8/2021, ,https://share.ecoprop.com/AFFLUENCE-COURT/R065963D,0,no sales,993,1/5/2021,0,no sales,961,no sales,0,no sales,0,NaT,0,no sales,776,2018,0,no sales,913,2019,0,no sales,0,no sales,0,no sales,977,2021,0,no sales,0,no sales,0,no sales,0,no sales
AIRSTREAM,,RCR - [D12],,1489,1/2/2023,1038,1/3/2020, ,https://share.ecoprop.com/AIRSTREAM/R065963D,1687,1/12/2022,1038,1/3/2020,1489,half year,1038,no sales,0,NaT,0,NaT,1351,2018,0,no sales,1380,2019,0,no sales,1313,2020,1038,2020,1433,2021,0,no sales,1482,2022,0,no sales,1489,2023,0,no sales
ALBA,,CCR - [D09],,0,no sales,3989,1/4/2023, ,https://share.ecoprop.com/ALBA/R065963D,0,no sales,4098,1/11/2021,0,no sales,3989,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,3204,2019,0,no sales,0,no sales,0,no sales,2883,2021,0,no sales,0,no sales,0,no sales,3989,2023
ALEGRIA,,CCR - [D11],,1573,1/5/2022,1272,1/12/2020, ,https://share.ecoprop.com/ALEGRIA/R065963D,1573,1/5/2022,1504,1/4/2019,1573,no sales,1272,no sales,0,NaT,0,NaT,0,no sales,1376,2018,0,no sales,1504,2019,1316,2020,1272,2020,0,no sales,0,no sales,1573,2022,0,no sales,0,no sales,0,no sales
ALESSANDREA,,RCR - [D03],,0,no sales,1667,1/5/2023, ,https://share.ecoprop.com/ALESSANDREA/R065963D,0,no sales,1686,1/12/2022,0,no sales,1597,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1394,2019,0,no sales,1494,2020,0,no sales,1550,2021,0,no sales,1624,2022,0,no sales,1597,2023
ALEX RESIDENCES,,RCR - [D03],,2020,1/4/2023,2289,1/1/2023, ,https://share.ecoprop.com/ALEX-RESIDENCES/R065963D,2212,1/6/2022,2289,1/1/2023,1990,half year,2289,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1810,2019,1818,2020,1800,2020,1909,2021,0,no sales,1971,2022,2032,2022,1990,2023,2289,2023
ALEXIS,,RCR - [D03],,1972,1/5/2023,1491,1/3/2023, ,https://share.ecoprop.com/ALEXIS/R065963D,1972,1/5/2023,1491,1/3/2023,1828,half year,1491,half year,0,NaT,0,NaT,0,no sales,0,no sales,1667,2019,0,no sales,1441,2020,0,no sales,1571,2021,1240,2021,1693,2022,1354,2022,1828,2023,1491,2023
ALPHA APARTMENTS,,RCR - [D15],,0,no sales,1129,1/8/2021, ,https://share.ecoprop.com/ALPHA-APARTMENTS/R065963D,0,no sales,1129,1/8/2021,0,no sales,1129,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1103,2021,0,no sales,0,no sales,0,no sales,0,no sales
ALTEZ,,CCR - [D02],,2111,1/4/2023,1790,1/3/2023, ,https://share.ecoprop.com/ALTEZ/R065963D,2277,1/9/2019,3351,1/12/2021,2046,half year,1790,half year,0,NaT,0,NaT,0,no sales,0,no sales,2188,2019,0,no sales,2020,2020,0,no sales,2042,2021,2240,2021,2055,2022,1943,2022,2046,2023,1790,2023
AMANINDA,,CCR - [D11],,1545,1/10/2021,1668,1/9/2022, ,https://share.ecoprop.com/AMANINDA/R065963D,1545,1/10/2021,1757,1/5/2022,1545,no sales,1668,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1493,2019,0,no sales,1402,2020,1545,2021,1492,2021,0,no sales,1712,2022,0,no sales,0,no sales
AMARANDA GARDENS,,OCR - [D19],,1545,1/9/2021,1810,1/8/2022, ,https://share.ecoprop.com/AMARANDA-GARDENS/R065963D,1562,1/8/2021,1810,1/8/2022,1545,no sales,1810,no sales,0,NaT,0,NaT,1363,2018,1406,2018,0,no sales,1487,2019,0,no sales,1500,2020,1541,2021,1532,2021,0,no sales,1718,2022,0,no sales,0,no sales
AMBER 45,,RCR - [D15],Nov-21,2716,1/5/2023,2610,1/4/2023, ,https://share.ecoprop.com/AMBER-45/R065963D,2716,1/5/2023,2618,1/1/2023,2696,half year,2582,half year,2110,1/7/2019,2406,1/1/2021,2340,2018,2210,2018,2223,2019,2129,2019,0,no sales,2235,2020,2575,2021,2343,2021,0,no sales,2461,2022,2696,2023,2582,2023
AMBER POINT,,RCR - [D15],,0,no sales,1696,1/3/2022, ,https://share.ecoprop.com/AMBER-POINT/R065963D,0,no sales,1696,1/3/2022,0,no sales,1696,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1657,2019,0,no sales,0,no sales,0,no sales,1606,2021,0,no sales,1696,2022,0,no sales,0,no sales
AMBER RESIDENCES,,RCR - [D15],,0,no sales,2108,1/3/2023, ,https://share.ecoprop.com/AMBER-RESIDENCES/R065963D,0,no sales,2108,1/3/2023,0,no sales,2001,half year,0,no sales,0,NaT,0,no sales,1846,2018,0,no sales,1558,2019,0,no sales,1582,2020,0,no sales,1684,2021,0,no sales,1757,2022,0,no sales,2001,2023
AMBER SKYE,,RCR - [D15],,0,no sales,2255,1/3/2023, ,https://share.ecoprop.com/AMBER-SKYE/R065963D,0,no sales,2305,1/1/2023,0,no sales,2280,half year,0,no sales,0,NaT,0,no sales,2102,2018,0,no sales,2024,2019,0,no sales,1670,2020,0,no sales,1803,2021,0,no sales,2061,2022,0,no sales,2280,2023
AMO RESIDENCE,,OCR - [D20],Dec-26,0,NaT,0,NaT, ,https://share.ecoprop.com/AMO-RESIDENCE/R065963D,2356,1/7/2022,2406,1/7/2022,2289,no sales,2237,half year,2289,1/9/2022,2150,1/4/2023,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2121,2022,2103,2022,0,no sales,2237,2023
AMPAS APARTMENTS,,RCR - [D12],,0,no sales,1366,1/3/2023, ,https://share.ecoprop.com/AMPAS-APARTMENTS/R065963D,0,no sales,1366,1/3/2023,0,no sales,1366,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1350,2022,0,no sales,1366,2023
ANGULLIA PARK RESIDENCES @ ORCHARD,,CCR - [D10],,2509,1/5/2022,2494,1/3/2023, ,https://share.ecoprop.com/ANGULLIA-PARK-RESIDENCES-ORCHARD/R065963D,2509,1/5/2022,2647,1/3/2022,2509,no sales,2404,half year,0,NaT,0,NaT,0,no sales,0,no sales,2298,2019,0,no sales,0,no sales,0,no sales,0,no sales,2232,2021,2509,2022,2558,2022,0,no sales,2404,2023
AO JIANG APARTMENTS,,RCR - [D13],,0,no sales,2235,1/7/2018, ,https://share.ecoprop.com/AO-JIANG-APARTMENTS/R065963D,0,no sales,2235,1/7/2018,0,no sales,2235,no sales,0,no sales,0,NaT,0,no sales,2095,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
APLETON VIEW,,CCR - [D11],,0,no sales,1997,1/10/2022, ,https://share.ecoprop.com/APLETON-VIEW/R065963D,0,no sales,1997,1/10/2022,0,no sales,1997,no sales,0,no sales,0,NaT,0,no sales,1834,2018,0,no sales,1617,2019,0,no sales,0,no sales,0,no sales,1819,2021,0,no sales,1744,2022,0,no sales,0,no sales
APOLLO GARDENS,,OCR - [D16],,0,no sales,1117,1/10/2022, ,https://share.ecoprop.com/APOLLO-GARDENS/R065963D,0,no sales,1117,1/10/2022,0,no sales,1117,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,875,2019,0,no sales,0,no sales,0,no sales,1037,2021,0,no sales,1041,2022,0,no sales,0,no sales
AQUARINE GARDENS,,OCR - [D15],,1406,1/4/2022,1301,1/2/2022, ,https://share.ecoprop.com/AQUARINE-GARDENS/R065963D,1406,1/4/2022,1301,1/2/2022,1406,no sales,1301,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1127,2019,0,no sales,0,no sales,0,no sales,1386,2021,0,no sales,1406,2022,1301,2022,0,no sales,0,no sales
AQUENE,,OCR - [D15],,1408,1/3/2023,0,no sales, ,https://share.ecoprop.com/AQUENE/R065963D,1408,1/3/2023,0,no sales,1408,half year,0,no sales,0,NaT,0,no sales,1208,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1270,2021,0,no sales,0,no sales,0,no sales,1408,2023,0,no sales
ARDMORE THREE,,CCR - [D10],,0,no sales,3986,1/1/2023, ,https://share.ecoprop.com/ARDMORE-THREE/R065963D,0,no sales,3986,1/1/2023,0,no sales,3986,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,2882,2019,0,no sales,0,no sales,0,no sales,3292,2021,0,no sales,3128,2022,0,no sales,3986,2023
ARENA RESIDENCES,,RCR - [D14],Aug-22,2186,1/11/2022,2186,1/11/2022, ,https://share.ecoprop.com/ARENA-RESIDENCES/R065963D,2186,1/11/2022,1357,1/9/2019,2186,no sales,1349,no sales,1893,1/2/2021,1349,1/12/2019,1799,2018,1322,2018,1840,2019,1341,2019,1862,2020,0,no sales,1866,2021,0,no sales,1987,2022,0,no sales,0,no sales,0,no sales
ARIVA ON SHAN SERVICED RESIDENCE,,RCR - [D12],,0,no sales,3943,1/3/2022, ,https://share.ecoprop.com/ARIVA-ON-SHAN-SERVICED-RESIDENCE/R065963D,0,no sales,3943,1/3/2022,0,no sales,3943,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,3943,2022,0,no sales,0,no sales
ARTHUR 118,,RCR - [D15],,1903,1/8/2022,1398,1/2/2022, ,https://share.ecoprop.com/ARTHUR-118/R065963D,1903,1/8/2022,1698,1/2/2021,1903,no sales,1398,no sales,0,NaT,0,NaT,1529,2018,0,no sales,0,no sales,1558,2019,0,no sales,0,no sales,1778,2021,1698,2021,1897,2022,1398,2022,0,no sales,0,no sales
ARTRA,,RCR - [D03],Jun-21,1940,1/5/2023,1940,1/5/2023, ,https://share.ecoprop.com/ARTRA/R065963D,2317,1/1/2023,2267,1/3/2023,2317,half year,2104,half year,2160,1/6/2020,1819,1/7/2020,0,no sales,0,no sales,2106,2019,1887,2019,2107,2020,1965,2020,1900,2021,1986,2021,2083,2022,2212,2022,2317,2023,2104,2023
ASCENT @ 456,,RCR - [D12],,1407,1/1/2023,0,no sales, ,https://share.ecoprop.com/ASCENT-456/R065963D,1452,1/10/2022,0,no sales,1407,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1274,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1403,2022,0,no sales,1407,2023,0,no sales
ASPEN LINQ,,CCR - [D09],,1490,1/7/2022,0,no sales, ,https://share.ecoprop.com/ASPEN-LINQ/R065963D,1956,1/3/2021,0,no sales,1490,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1919,2021,0,no sales,1490,2022,0,no sales,0,no sales,0,no sales
